idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
0,toyota,toyota-rav-4-1996-manual-189000-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1996,Manuelle,189000,Essence,5490,Analyse indisponible,Vendeur particulier,25
1,toyota,toyota-rav-4-1998-manual-124643-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1998,Manuelle,124643,Essence,7990,Analyse indisponible,E.P.A ESSENCE PASSION AUTOMOBILE,13
2,toyota,toyota-rav-4-1999-manual-181579-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1999,Manuelle,181579,Essence,5890,Analyse indisponible,P2C AUTOMOBILES,13
3,toyota,toyota-rav-4-1999-manual-327000-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1999,Manuelle,327000,Essence,3990,Analyse indisponible,Vendeur particulier,06
4,toyota,toyota-rav-4-ii-2000-auto-56000-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2000,Auto,56000,Essence,18900,Analyse indisponible,Vendeur particulier,51
5,toyota,toyota-rav-4-phase-2-2000-manual-243000-km-essence,toyota rav,4 phase 2,2.0 HYBRIDE 128 GX,2.0,HYBRIDE,128,GX,2000,Manuelle,243000,Essence,6200,Analyse indisponible,Vendeur particulier,93
6,toyota,toyota-rav-4-ii-phase-2-2001-manual-150000-km-diesel,toyota rav,4 II phase 2,2.0 D-4D 116 GX,2.0,D-4D,116,GX,2001,Manuelle,150000,Diesel,6585,Très bonne affaire,Vendeur particulier,78
7,toyota,toyota-rav-4-ii-2001-auto-175800-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2001,Auto,175800,Essence,7990,-,VENTE DE VEHICULES AUTOMOBILES D' OCCASIONS,94
8,skoda,skoda-octavia-phase-2-2001-manual-274400-km-diesel,skoda octavia,phase 2,1.9 TDI 110 AMBIENTE,1.9,TDI,110,AMBIENTE,2001,Manuelle,274400,Diesel,2950,Au dessus du marché,L.S.A AUTOS,49
9,toyota,toyota-rav-4-ii-2002-manual-67500-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2002,Manuelle,67500,Essence,16490,Analyse indisponible,MALVAN OCCASIONS,06
10,toyota,toyota-rav-4-ii-2002-auto-121960-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2002,Auto,121960,Essence,12990,-,AIXELLCARS,13
11,toyota,toyota-rav-4-ii-2002-manual-295000-km-diesel,toyota rav,4 II,2.0 D-4D 116 VX,2.0,D-4D,116,VX,2002,Manuelle,295000,Diesel,4500,-,KM AUTO,94
12,toyota,toyota-rav-4-ii-2003-auto-62900-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2003,Auto,62900,Essence,17990,Au dessus du marché,MALVAN OCCASIONS,06
13,toyota,toyota-rav-4-ii-phase-2-2003-auto-132570-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2003,Auto,132570,Essence,9900,Offre équitable,Vendeur particulier,26
14,toyota,toyota-rav-4-ii-phase-2-2003-auto-142000-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2003,Auto,142000,Essence,9990,-,LH AUTOMOBILE,85
15,toyota,toyota-rav-4-ii-phase-2-2003-manual-155000-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 VX,2.0,VVT-I,150,VX,2003,Manuelle,155000,Essence,10990,Au dessus du marché,RENEINS AUTOMOBILES,69
16,skoda,skoda-octavia-combi-phase-2-2003-manual-290000-km-diesel,skoda octavia,COMBI phase 2,1.9 TDI 90 S,1.9,TDI,90,S,2003,Manuelle,290000,Diesel,2990,Offre équitable,SELEKT AUTOMOBILES,38
17,toyota,toyota-rav-4-iii-2004-auto-88000-km-essence,toyota rav,4 III,2.0 VVT-I 152 VX,2.0,VVT-I,152,VX,2004,Auto,88000,Essence,15990,Au dessus du marché,AGENCE AUTOMOBILIERE,38
18,toyota,toyota-rav-4-ii-2004-manual-130500-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2004,Manuelle,130500,Essence,8990,Très bonne affaire,GP AUTO,02
19,toyota,toyota-rav-4-ii-phase-2-2004-auto-164000-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2004,Auto,164000,Essence,10900,Au dessus du marché,Vendeur particulier,20
20,toyota,toyota-rav-4-ii-phase-2-2004-manual-202000-km-diesel,toyota rav,4 II phase 2,2.0 D-4D 116 LIMITED EDITION,2.0,D-4D,116,LIMITED EDITION,2004,Manuelle,202000,Diesel,6500,-,Vendeur particulier,91
21,toyota,toyota-rav-4-ii-phase-2-2004-manual-245000-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 GX,2.0,VVT-I,150,GX,2004,Manuelle,245000,Essence,4800,-,Vendeur particulier,42
22,toyota,toyota-rav-4-ii-phase-2-2005-auto-83310-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2005,Auto,83310,Essence,11990,Offre équitable,PARLONS AUTOS,BOISSY-SAINT-LEGER
23,toyota,toyota-rav-4-ii-phase-2-2005-auto-83310-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2005,Auto,83310,Essence,11990,Offre équitable,PARLONS AUTOS,94
24,toyota,toyota-rav-4-ii-phase-2-2005-manual-110361-km-diesel,toyota rav,4 II phase 2,2.0 D-4D 116 VX,2.0,D-4D,116,VX,2005,Manuelle,110361,Diesel,13990,Au dessus du marché,CAR AK TERRE 4X4 OCCASIONS,88
25,toyota,toyota-rav-4-ii-phase-2-2005-auto-115000-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 PACK,2.0,VVT-I,150,PACK,2005,Auto,115000,Essence,14990,Au dessus du marché,Vendeur particulier,64
26,skoda,skoda-octavia-phase-2-2005-manual-274897-km-diesel,skoda octavia,phase 2,1.9 TDI 90 TECHDESIGN,1.9,TDI,90,TECHDESIGN,2005,Manuelle,274897,Diesel,2890,Au dessus du marché,RM AUTO,95
27,toyota,toyota-rav-4-iii-2006-auto-82900-km-essence,toyota rav,4 III,2.0 VVT-I 152 VXE,2.0,VVT-I,152,VXE,2006,Auto,82900,Essence,9990,Bonne affaire,AUTO ADAM,95
28,toyota,toyota-rav-4-ii-phase-2-2006-manual-96837-km-essence,toyota rav,4 II phase 2,2.0 VVT-I 150 LIMITED EDITION,2.0,VVT-I,150,LIMITED EDITION,2006,Manuelle,96837,Essence,13990,Au dessus du marché,CARTRUCKS,83
29,toyota,toyota-rav-4-iii-2006-manual-190000-km-diesel,toyota rav,4 III,2.2 D-4D 177,2.2,D-4D,177,-,2006,Manuelle,190000,Diesel,6900,-,Vendeur particulier,06
30,skoda,skoda-octavia-ii-rs-phase-2-2006-manual-195983-km-diesel,skoda octavia,II RS phase 2,2.0 TDI 170 RS,2.0,TDI,170,RS,2006,Manuelle,195983,Diesel,6790,-,NRJ AUTO VARES,47
31,skoda,skoda-octavia-ii-combi-2006-manual-211000-km-essence,skoda octavia,II COMBI,1.6 FSI 115 CONFORT PACK,1.6,FSI,115,CONFORT PACK,2006,Manuelle,211000,Essence,3490,Bonne affaire,AVS PRESTIGE,69
32,toyota,toyota-rav-4-ii-phase-2-2006-manual-244600-km-diesel,toyota rav,4 II phase 2,2.0 D-4D 116 VX,2.0,D-4D,116,VX,2006,Manuelle,244600,Diesel,4990,-,NEXT AUTO,91
33,toyota,toyota-rav-4-iii-2006-manual-259000-km-diesel,toyota rav,4 III,2.2 D-4D 177 PACK TECHNO,2.2,D-4D,177,PACK TECHNO,2006,Manuelle,259000,Diesel,7990,-,DEGRIFF AUTO,31
34,skoda,skoda-octavia-ii-2006-manual-266000-km-diesel,skoda octavia,II,2.0 TDI 140 ELEGANCE,2.0,TDI,140,ELEGANCE,2006,Manuelle,266000,Diesel,2850,Bonne affaire,Vendeur particulier,33
35,toyota,toyota-rav-4-iii-2006-manual-316000-km-diesel,toyota rav,4 III,2.2 D-4D 177 PACK TECHNO,2.2,D-4D,177,PACK TECHNO,2006,Manuelle,316000,Diesel,10000,-,Vendeur particulier,84
36,toyota,toyota-rav-4-iii-2007-manual-153062-km-diesel,toyota rav,4 III,2.2 D-4D 136 LOUNGE,2.2,D-4D,136,LOUNGE,2007,Manuelle,153062,Diesel,8880,-,TOPS CARS,95
37,toyota,toyota-rav-4-iii-2007-manual-170000-km-diesel,toyota rav,4 III,2.2 D-4D 177,2.2,D-4D,177,-,2007,Manuelle,170000,Diesel,9500,-,GARAGE BRONDEL,69
38,toyota,toyota-rav-4-iii-2007-manual-221235-km-diesel,toyota rav,4 III,2.2 D-4D 136,2.2,D-4D,136,-,2007,Manuelle,221235,Diesel,7200,-,GARAGE ARB,85
39,skoda,skoda-octavia-ii-2007-manual-225000-km-diesel,skoda octavia,II,1.9 TDI 105 AMBIENTE,1.9,TDI,105,AMBIENTE,2007,Manuelle,225000,Diesel,3500,Bonne affaire,BEST AUTOMOBILE,86
40,volkswagen,volkswagen-tiguan-2007-manual-264000-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2007,Manuelle,264000,Diesel,6800,Offre équitable,OCC'AUTO,63
41,toyota,toyota-rav-4-iii-2007-manual-278800-km-diesel,toyota rav,4 III,2.2 D-4D 136 VXE,2.2,D-4D,136,VXE,2007,Manuelle,278800,Diesel,7500,-,Vendeur particulier,60
42,volkswagen,volkswagen-tiguan-2008-manual-82000-km-diesel,volkswagen tiguan,,2.0 TDI 140 CONFORTLINE,2.0,TDI,140,CONFORTLINE,2008,Manuelle,82000,Diesel,14990,Offre équitable,KRIS'AUTO,31
43,volkswagen,volkswagen-tiguan-2008-auto-178800-km-diesel,volkswagen tiguan,,2.0 TDI 140 CONFORTLINE,2.0,TDI,140,CONFORTLINE,2008,Auto,178800,Diesel,9900,Offre équitable,ADONIS AUTO,69
44,toyota,toyota-rav-4-iii-2008-manual-181300-km-diesel,toyota rav,4 III,2.2 D-4D 135 LIFE,2.2,D-4D,135,LIFE,2008,Manuelle,181300,Diesel,7400,-,Vendeur particulier,80
45,toyota,toyota-rav-4-iii-2008-manual-218000-km-diesel,toyota rav,4 III,2.2 D-4D 136,2.2,D-4D,136,-,2008,Manuelle,218000,Diesel,7500,-,Vendeur particulier,06
46,toyota,toyota-rav-4-iii-2008-manual-220000-km-diesel,toyota rav,4 III,2.2 D-4D 136 LOUNGE,2.2,D-4D,136,LOUNGE,2008,Manuelle,220000,Diesel,5990,-,PROVENCE CAR,83
47,toyota,toyota-rav-4-iii-phase-2-2008-manual-221300-km-diesel,toyota rav,4 III phase 2,2.2 D-CAT 177,2.2,D-CAT,177,-,2008,Manuelle,221300,Diesel,8900,Offre équitable,Vendeur particulier,53
48,volkswagen,volkswagen-tiguan-2008-manual-320000-km-diesel,volkswagen tiguan,,2.0 TDI 140 CARAT,2.0,TDI,140,CARAT,2008,Manuelle,320000,Diesel,6490,-,SIMPLICICARMEAUX,77
49,volkswagen,volkswagen-tiguan-2009-auto-50500-km-essence,volkswagen tiguan,,2.0 TSI 200 CONFORTLINE,2.0,TSI,200,CONFORTLINE,2009,Auto,50500,Essence,12200,Bonne affaire,L D L AUTOS,92
50,skoda,skoda-octavia-ii-phase-2-2009-manual-114800-km-essence,skoda octavia,II phase 2,1.4 TSI 122 AMBITION,1.4,TSI,122,AMBITION,2009,Manuelle,114800,Essence,6900,-,AUTOS LAND,38
51,volkswagen,volkswagen-tiguan-2009-manual-144500-km-essence,volkswagen tiguan,,1.4 TSI 150 CARAT,1.4,TSI,150,CARAT,2009,Manuelle,144500,Essence,8980,Bonne affaire,HD AUTOMOBILES,78
52,volkswagen,volkswagen-tiguan-phase-2-2009-auto-148500-km-essence,volkswagen tiguan,phase 2,2.0 TSI 200 CARAT,2.0,TSI,200,CARAT,2009,Auto,148500,Essence,12900,Au dessus du marché,ADONIS AUTO,69
53,volkswagen,volkswagen-tiguan-2009-auto-153600-km-diesel,volkswagen tiguan,,2.0 TDI 140 CONFORTLINE,2.0,TDI,140,CONFORTLINE,2009,Auto,153600,Diesel,9490,Bonne affaire,ECB-AUTOMOBILES,75
54,volkswagen,volkswagen-tiguan-2009-manual-167000-km-essence,volkswagen tiguan,,1.4 TSI 150,1.4,TSI,150,-,2009,Manuelle,167000,Essence,7480,-,AUTOS REVERSE,91
55,volkswagen,volkswagen-tiguan-2009-auto-173000-km-diesel,volkswagen tiguan,,2.0 TDI 140 TRACK & FIELD,2.0,TDI,140,TRACK & FIELD,2009,Auto,173000,Diesel,8990,Bonne affaire,TRANSAK AUTO SAINT MAUR,94
56,toyota,toyota-rav-4-iii-phase-3-2009-auto-177267-km-diesel,toyota rav,4 III phase 3,2.2 D-CAT 150 LIFE EDITION,2.2,D-CAT,150,LIFE EDITION,2009,Auto,177267,Diesel,9995,-,AUTO EUROPE,93
57,toyota,toyota-rav-4-iii-phase-3-2009-auto-177267-km-diesel,toyota rav,4 III phase 3,2.2 D-CAT 150 LIFE EDITION,2.2,D-CAT,150,LIFE EDITION,2009,Auto,177267,Diesel,9995,-,AUTO EUROPE,AULNAY-SOUS-BOIS
58,toyota,toyota-rav-4-iii-phase-2-2009-auto-177800-km-diesel,toyota rav,4 III phase 2,2.2 D-CAT 150,2.2,D-CAT,150,-,2009,Auto,177800,Diesel,10995,-,GAZOLINE,75
59,toyota,toyota-rav-4-iii-phase-2-2009-manual-182500-km-diesel,toyota rav,4 III phase 2,2.2 D-4D 150 LIFE,2.2,D-4D,150,LIFE,2009,Manuelle,182500,Diesel,10700,Au dessus du marché,PLANETE 4X4,43
60,volkswagen,volkswagen-tiguan-2009-auto-194500-km-diesel,volkswagen tiguan,,2.0 TDI 140 CARAT,2.0,TDI,140,CARAT,2009,Auto,194500,Diesel,9490,-,TRANSAK AUTO SAINT MAUR,94
61,toyota,toyota-rav-4-iii-phase-2-2009-manual-205600-km-diesel,toyota rav,4 III phase 2,2.2 D-4D 150 LE CAP,2.2,D-4D,150,LE CAP,2009,Manuelle,205600,Diesel,7500,Bonne affaire,Vendeur particulier,77
62,volkswagen,volkswagen-tiguan-2009-manual-218002-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2009,Manuelle,218002,Diesel,7990,-,FRANCE AUTOS SELECTION,30
63,toyota,toyota-rav-4-iii-2009-manual-230339-km-diesel,toyota rav,4 III,2.2 D-4D 136 LECAP,2.2,D-4D,136,LECAP,2009,Manuelle,230339,Diesel,5490,-,NEGOCE AUTO,91
64,volkswagen,volkswagen-tiguan-2009-manual-241990-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2009,Manuelle,241990,Diesel,7490,-,KAYAN AUTOMOBILE,74
65,toyota,toyota-rav-4-iii-2009-manual-250000-km-diesel,toyota rav,4 III,2.2 D-4D 136 LIMITED EDITION,2.2,D-4D,136,LIMITED EDITION,2009,Manuelle,250000,Diesel,5600,-,Vendeur particulier,04
66,toyota,toyota-rav-4-iii-phase-2-2009-manual-271200-km-diesel,toyota rav,4 III phase 2,2.2 D-4D 150 LIFE,2.2,D-4D,150,LIFE,2009,Manuelle,271200,Diesel,4800,Très bonne affaire,Vendeur particulier,77
67,volkswagen,volkswagen-tiguan-phase-2-2009-manual-298000-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 110,2.0,TDI,110,-,2009,Manuelle,298000,Diesel,4990,-,OBCARS,45
68,skoda,skoda-octavia-ii-combi-2009-manual-298000-km-diesel,skoda octavia,II COMBI,1.9 TDI 101 TOUR DE FRANCE,1.9,TDI,101,TOUR DE FRANCE,2009,Manuelle,298000,Diesel,2400,Très bonne affaire,Vendeur particulier,29
69,volkswagen,volkswagen-tiguan-2009-manual-305000-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2009,Manuelle,305000,Diesel,5000,Bonne affaire,Vendeur particulier,78
70,volkswagen,volkswagen-tiguan-2009-manual-373242-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2009,Manuelle,373242,Diesel,4000,-,EG CAR,63
71,volkswagen,volkswagen-tiguan-2010-auto-73412-km-diesel,volkswagen tiguan,,2.0 TDI 140 CARAT,2.0,TDI,140,CARAT,2010,Auto,73412,Diesel,14990,Offre équitable,DELUXE AUTO,06
72,volkswagen,volkswagen-tiguan-phase-2-2010-manual-94234-km-essence,volkswagen tiguan,phase 2,1.4 TSI 150 SPORTLINE,1.4,TSI,150,SPORTLINE,2010,Manuelle,94234,Essence,11995,Offre équitable,AUTO YERRES,YERRES
73,volkswagen,volkswagen-tiguan-phase-2-2010-manual-94234-km-essence,volkswagen tiguan,phase 2,1.4 TSI 150 SPORTLINE,1.4,TSI,150,SPORTLINE,2010,Manuelle,94234,Essence,11995,Offre équitable,AUTO YERRES,91
74,volkswagen,volkswagen-tiguan-phase-2-2010-auto-109140-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 TRACK & FIELD,2.0,TDI,140,TRACK & FIELD,2010,Auto,109140,Diesel,11989,Bonne affaire,MOTORGEAR AUTOMOBILE,57
75,toyota,toyota-rav-4-iii-phase-3-2010-auto-113100-km-diesel,toyota rav,4 III phase 3,2.2 D-CAT 150 LIFE,2.2,D-CAT,150,LIFE,2010,Auto,113100,Diesel,13490,Offre équitable,LA FRANCAISE DES AUTOS,94
76,volkswagen,volkswagen-tiguan-2010-manual-125000-km-essence,volkswagen tiguan,,1.4 TSI 150,1.4,TSI,150,-,2010,Manuelle,125000,Essence,10490,Offre équitable,CKL AUTO,94
77,toyota,toyota-rav-4-iii-phase-3-2010-manual-156500-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 LIFE EDITION,2.2,D-4D,150,LIFE EDITION,2010,Manuelle,156500,Diesel,10690,Offre équitable,Vendeur particulier,84
78,volkswagen,volkswagen-tiguan-2010-manual-160000-km-diesel,volkswagen tiguan,,2.0 TDI 140 CARAT,2.0,TDI,140,CARAT,2010,Manuelle,160000,Diesel,10990,-,AUTO GP,74
79,volkswagen,volkswagen-tiguan-2010-auto-163000-km-diesel,volkswagen tiguan,,2.0 TDI 140 R-LINE,2.0,TDI,140,R-LINE,2010,Auto,163000,Diesel,12500,-,GHEZAL AUTO NICE,06
80,volkswagen,volkswagen-tiguan-2010-manual-177000-km-essence,volkswagen tiguan,,1.4 TSI 150,1.4,TSI,150,-,2010,Manuelle,177000,Essence,7200,-,Vendeur particulier,01
81,toyota,toyota-rav-4-iii-phase-3-2010-manual-181000-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 LIFE EDITION,2.2,D-4D,150,LIFE EDITION,2010,Manuelle,181000,Diesel,9990,Offre équitable,BEST AUTOMOBILE,86
82,toyota,toyota-rav-4-iii-phase-3-2010-auto-187000-km-diesel,toyota rav,4 III phase 3,2.2 D-CAT 150 LOUNGE,2.2,D-CAT,150,LOUNGE,2010,Auto,187000,Diesel,9500,Très bonne affaire,Vendeur particulier,68
83,volkswagen,volkswagen-tiguan-2010-manual-189990-km-essence,volkswagen tiguan,,1.4 TSI 150 CARAT,1.4,TSI,150,CARAT,2010,Manuelle,189990,Essence,11990,-,AUTOMOBILE SUR MESURE,95
84,skoda,skoda-octavia-ii-combi-rs-2010-manual-194000-km-essence,skoda octavia,II COMBI RS,2.0 TFSI 200 RS,2.0,TFSI,200,RS,2010,Manuelle,194000,Essence,9490,-,WEECARS BREST,29
85,skoda,skoda-octavia-ii-combi-2010-manual-202825-km-diesel,skoda octavia,II COMBI,1.9 TDI 105 AMBIENTE,1.9,TDI,105,AMBIENTE,2010,Manuelle,202825,Diesel,4999,Offre équitable,SPEED AUTOMOBILES 57,57
86,volkswagen,volkswagen-tiguan-2010-manual-216000-km-diesel,volkswagen tiguan,,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2010,Manuelle,216000,Diesel,10490,Au dessus du marché,VIA AUTOMOBILE CHAMBLY,60
87,skoda,skoda-octavia-ii-phase-2-2010-auto-217000-km-essence,skoda octavia,II phase 2,1.4 TSI 122 ELEGANCE,1.4,TSI,122,ELEGANCE,2010,Auto,217000,Essence,5999,-,CAR KSAL 68,68
88,volkswagen,volkswagen-tiguan-2010-manual-220000-km-diesel,volkswagen tiguan,,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2010,Manuelle,220000,Diesel,7990,Bonne affaire,TRANSAK AUTO CLERMONT FERRAND SUD,63
89,skoda,skoda-octavia-ii-rs-phase-2-2010-auto-230000-km-diesel,skoda octavia,II RS phase 2,2.0 TDI 170 RS,2.0,TDI,170,RS,2010,Auto,230000,Diesel,5999,Très bonne affaire,Vendeur particulier,13
90,volkswagen,volkswagen-tiguan-phase-2-2010-manual-238744-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2010,Manuelle,238744,Diesel,7990,-,ESPACE SELECTION AUTOMOBILES,26
91,skoda,skoda-octavia-ii-phase-2-2010-manual-256500-km-diesel,skoda octavia,II phase 2,1.6 TDI 105 CLASSIC,1.6,TDI,105,CLASSIC,2010,Manuelle,256500,Diesel,3990,Au dessus du marché,NORMANDIE AUTO,76
92,volkswagen,volkswagen-tiguan-2010-manual-290000-km-diesel,volkswagen tiguan,,2.0 TDI 140,2.0,TDI,140,-,2010,Manuelle,290000,Diesel,5900,Bonne affaire,Vendeur particulier,94
93,volkswagen,volkswagen-tiguan-phase-2-2010-manual-291300-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2010,Manuelle,291300,Diesel,5500,-,Vendeur particulier,44
94,volkswagen,volkswagen-tiguan-phase-2-2011-manual-71000-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 BUSINESS,2.0,TDI,140,BUSINESS,2011,Manuelle,71000,Diesel,12000,Très bonne affaire,Vendeur particulier,07
95,toyota,toyota-rav-4-iii-phase-2-2011-manual-110855-km-essence,toyota rav,4 III phase 2,2.0 VVT-I 158 LIFE,2.0,VVT-I,158,LIFE,2011,Manuelle,110855,Essence,15400,Au dessus du marché,UNIVERS MOTORS,34
96,toyota,toyota-rav-4-iii-phase-2-2011-manual-120441-km-diesel,toyota rav,4 III phase 2,2.2 D-4D 150 LIFE,2.2,D-4D,150,LIFE,2011,Manuelle,120441,Diesel,12990,Offre équitable,ETS DELOUTE,13
97,volkswagen,volkswagen-tiguan-phase-2-2011-manual-127436-km-essence,volkswagen tiguan,phase 2,1.4 TSI 122,1.4,TSI,122,-,2011,Manuelle,127436,Essence,7600,Très bonne affaire,EURL GUIDE AUTO MOTO,54
98,volkswagen,volkswagen-tiguan-2011-manual-129556-km-diesel,volkswagen tiguan,,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2011,Manuelle,129556,Diesel,12990,Au dessus du marché,GARAGE ROLFO,83
99,volkswagen,volkswagen-tiguan-phase-2-2011-manual-129690-km-essence,volkswagen tiguan,phase 2,2.0 TSI 210 CARAT,2.0,TSI,210,CARAT,2011,Manuelle,129690,Essence,11990,Bonne affaire,DESTOCK 27,27
100,toyota,toyota-rav-4-iii-phase-2-2011-manual-138680-km-diesel,toyota rav,4 III phase 2,2.2 D-4D 150 LIFE,2.2,D-4D,150,LIFE,2011,Manuelle,138680,Diesel,12990,Au dessus du marché,TL AUTOMOBILES,62
101,volkswagen,volkswagen-tiguan-2011-auto-138727-km-diesel,volkswagen tiguan,,2.0 TDI 140 CARAT,2.0,TDI,140,CARAT,2011,Auto,138727,Diesel,13990,Offre équitable,DELUXE AUTO,06
102,volkswagen,volkswagen-tiguan-2011-manual-155000-km-diesel,volkswagen tiguan,,2.0 TDI 110 SPORTLINE,2.0,TDI,110,SPORTLINE,2011,Manuelle,155000,Diesel,12990,Au dessus du marché,SAM S GARAGE,53
103,volkswagen,volkswagen-tiguan-phase-2-2011-manual-156000-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2011,Manuelle,156000,Diesel,10490,Bonne affaire,TRANSAKAUTO GRENOBLE OUEST,38
104,volkswagen,volkswagen-tiguan-phase-2-2011-manual-158200-km-essence,volkswagen tiguan,phase 2,2.0 TSI 210 CARAT,2.0,TSI,210,CARAT,2011,Manuelle,158200,Essence,10590,-,DE NELBAE AUTOMOBILES,06
105,volkswagen,volkswagen-tiguan-phase-2-2011-manual-161300-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2011,Manuelle,161300,Diesel,8990,Très bonne affaire,EWIGO RAMBOUILLET,78
106,skoda,skoda-octavia-ii-phase-2-2011-auto-166500-km-essence,skoda octavia,II phase 2,1.8 TFSI 160 ELEGANCE,1.8,TFSI,160,ELEGANCE,2011,Auto,166500,Essence,8200,Offre équitable,Vendeur particulier,57
107,skoda,skoda-octavia-ii-phase-2-2011-auto-176871-km-diesel,skoda octavia,II phase 2,1.6 TDI 105 AMBITION,1.6,TDI,105,AMBITION,2011,Auto,176871,Diesel,7990,-,AUTO OCCASION LUSITANO,95
108,volkswagen,volkswagen-tiguan-2011-manual-179311-km-diesel,volkswagen tiguan,,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2011,Manuelle,179311,Diesel,9500,Bonne affaire,AUTO EXPO 91,91
109,toyota,toyota-rav-4-iii-phase-3-2011-manual-190000-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 LIFE EDITION,2.2,D-4D,150,LIFE EDITION,2011,Manuelle,190000,Diesel,8850,Bonne affaire,LSG AUTO,30
110,toyota,toyota-rav-4-iii-phase-3-2011-manual-190000-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 WHITE EDITION,2.2,D-4D,150,WHITE EDITION,2011,Manuelle,190000,Diesel,11500,Offre équitable,Vendeur particulier,25
111,volkswagen,volkswagen-tiguan-phase-2-2011-auto-199565-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140 SPORTLINE,2.0,TDI,140,SPORTLINE,2011,Auto,199565,Diesel,11499,-,GT AUTOMOBILE,26
112,volkswagen,volkswagen-tiguan-phase-2-2011-manual-210000-km-diesel,volkswagen tiguan,phase 2,2.0 TDI 140,2.0,TDI,140,-,2011,Manuelle,210000,Diesel,8990,-,BACKCAR ANGERS,49
113,volkswagen,volkswagen-tiguan-2011-manual-212632-km-diesel,volkswagen tiguan,,2.0 TDI 140 SPORT & STYLE,2.0,TDI,140,SPORT & STYLE,2011,Manuelle,212632,Diesel,7499,Bonne affaire,Vendeur particulier,83
114,skoda,skoda-octavia-ii-phase-2-2011-manual-214230-km-diesel,skoda octavia,II phase 2,1.6 TDI 105 ACTIVE,1.6,TDI,105,ACTIVE,2011,Manuelle,214230,Diesel,4990,Offre équitable,DISCOUNTAUTO86,86
115,toyota,toyota-rav-4-iii-phase-3-2011-manual-216000-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 LOUNGE,2.2,D-4D,150,LOUNGE,2011,Manuelle,216000,Diesel,6990,-,DIRECT AUTOMOBILES,30
116,toyota,toyota-rav-4-iii-phase-3-2011-manual-224006-km-diesel,toyota rav,4 III phase 3,2.2 D-4D 150 LIFE,2.2,D-4D,150,LIFE,2011,Manuelle,224006,Diesel,7400,-,Vendeur particulier,30
