idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
2860,volkswagen,volkswagen-t-roc-phase-2-2022-auto-55791-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE,1.5,TSI,150,STYLE,2022,Auto,55791,Essence,24297,Bonne affaire,VOLKSWAGEN SEAT SKODA CUPRA BYMYCAR LYON VAISE,69
2861,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-56000-km-diesel,volkswagen tiguan,II phase 2,2.0 TDI 150 R-LINE,2.0,TDI,150,R-LINE,2022,Auto,56000,Diesel,33480,Bonne affaire,SIMPLICICAR LE RAINCY,93
2862,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-56000-km-diesel,volkswagen tiguan,II phase 2,2.0 TDI 150 R-LINE,2.0,TDI,150,R-LINE,2022,Auto,56000,Diesel,33480,Bonne affaire,SIMPLICICAR LE RAINCY,LE-RAINCY
2863,volkswagen,volkswagen-t-roc-phase-2-2022-auto-56000-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 R-LINE,1.5,TSI,150,R-LINE,2022,Auto,56000,Essence,26990,Bonne affaire,TRANSAKAUTO CARCASSONE,11
2864,volkswagen,volkswagen-t-roc-phase-2-2022-manual-56000-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 LIFE,1.5,TSI,150,LIFE,2022,Manuelle,56000,Essence,18990,Très bonne affaire,TRANSAKAUTO,45
2865,toyota,toyota-rav-4-v-2022-auto-56058-km-hybrides,toyota rav,4 V,2.5 HYBRIDE 222 COLLECTION,2.5,HYBRIDE,222,COLLECTION,2022,Auto,56058,Hybrides,35990,Bonne affaire,TOYOTA DEGENEVE THONON,74
2866,toyota,toyota-rav-4-v-2022-auto-56097-km-hybrides,toyota rav,4 V,2.5 HYBRIDE 218 DYNAMIC,2.5,HYBRIDE,218,DYNAMIC,2022,Auto,56097,Hybrides,31900,Offre équitable,JNB AUTO TOYOTA PAMIERS,09
2867,skoda,skoda-octavia-iv-combi-rs-2022-auto-56117-km-hybrides,skoda octavia,IV COMBI RS,1.4 TSI 245 RS,1.4,TSI,245,RS,2022,Auto,56117,Hybrides,28990,Offre équitable,PF AUTOS,77
2868,skoda,skoda-octavia-iv-combi-rs-2022-auto-56117-km-hybrides,skoda octavia,IV COMBI RS,1.4 TSI 245 RS,1.4,TSI,245,RS,2022,Auto,56117,Hybrides,28990,Offre équitable,PF AUTOS,MOUROUX
2869,toyota,toyota-rav-4-v-2022-auto-56234-km-hybrides,toyota rav,4 V,2.5 HYBRIDE 218 DYNAMIC BUSINESS + BEYOND ZERO ACADEMY,2.5,HYBRIDE,218,DYNAMIC BUSINESS + BEYOND ZERO ACADEMY,2022,Auto,56234,Hybrides,32990,Offre équitable,TOYOTA AUTOSPRINTER AIX,13
2870,volkswagen,volkswagen-t-roc-phase-2-2022-auto-56269-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE,1.5,TSI,150,STYLE,2022,Auto,56269,Essence,24699,Bonne affaire,VOLKSWAGEN SEAT SKODA CUPRA BYMYCAR LYON VAISE,69
2871,volkswagen,volkswagen-t-roc-phase-2-2022-manual-56287-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,56287,Essence,19990,Bonne affaire,VW AUDI DELATTRE AUTOMOBILES,62
2872,volkswagen,volkswagen-tiguan-iii-2022-auto-56300-km-hybrides,volkswagen tiguan,III,1.5 E-HYBRID 204 ELEGANCE,1.5,E-HYBRID,204,ELEGANCE,2022,Auto,56300,Hybrides,29980,Très bonne affaire,NOY AUTO,95
2873,volkswagen,volkswagen-tiguan-iii-2022-auto-56300-km-hybrides,volkswagen tiguan,III,1.5 E-HYBRID 204 ELEGANCE,1.5,E-HYBRID,204,ELEGANCE,2022,Auto,56300,Hybrides,29980,Très bonne affaire,NOY AUTO,DOMONT
2874,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-56652-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 LIFE BUSINESS,1.4,E-HYBRID,245,LIFE BUSINESS,2022,Auto,56652,Hybrides,24900,Bonne affaire,LSN,92
2875,volkswagen,volkswagen-t-roc-phase-2-2022-manual-56786-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE,1.5,TSI,150,STYLE,2022,Manuelle,56786,Essence,22990,Bonne affaire,VOLKSWAGEN AUXERRE - JEANNIN AUTOMOBILES,89
2876,volkswagen,volkswagen-t-roc-phase-2-2022-auto-56972-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 R-LINE,1.5,TSI,150,R-LINE,2022,Auto,56972,Essence,26900,Bonne affaire,THEVENOD SAS LONS-LE-SAUNIER,39
2877,volkswagen,volkswagen-t-roc-cabriolet-2022-auto-57000-km-essence,volkswagen t-roc,CABRIOLET,1.5 TSI 150 R-LINE,1.5,TSI,150,R-LINE,2022,Auto,57000,Essence,28990,Offre équitable,TRANSAKAUTO GRENOBLE OUEST,38
2878,volkswagen,volkswagen-t-roc-phase-2-2022-auto-57000-km-diesel,volkswagen t-roc,phase 2,2.0 TDI 150 LIFE BUSINESS DSG7,2.0,TDI,150,LIFE BUSINESS DSG7,2022,Auto,57000,Diesel,24990,Bonne affaire,RS AUTOMOBILES,83
2879,toyota,toyota-rav-4-v-2022-auto-57111-km-hybrides,toyota rav,4 V,2.5 HYBRIDE 222 DYNAMIC,2.5,HYBRIDE,222,DYNAMIC,2022,Auto,57111,Hybrides,30990,Bonne affaire,ARNOLD BAUER,95
